make,car_model,depth,height,width
Peugeot,208 1.2 5DR HATCH 2020,67,75,96
Peugeot,208 5DR HATCH 2020,73,81,99
Peugeot,208 BLUEHDI 100 STOP&START ALLURE 5DR HATCH 2015,70,80,96
BMW,218D ACTIVE TOURER 5DR MPV 2018,83,75,100
BMW,218D GRAN TOURER LUXURY LINE STEPTRONIC 5DR MPV 2015,99,78,100
BMW,218I ACTIVE TOURER 5DR MPV 2018,83,75,100
BMW,218I GRAN COUPE 4DR COUPE 2020,95,44,100
BMW,220D GRAN TOURER LUXURY LINE STEPTRONIC 5DR MPV 2016,32,76,100
BMW,225I ACTIVE TOURER LUXURY LINE STEPTRONIC 5DR MPV 2014,77,75,101
BMW,225XE5DR MPV 2017,82,74,101
BMW,228I CABRIO M SPORT STEPTRONIC 2DR CONVERTIBLE 2015,95,40,95
BMW,230I COUPÃ© M SPORT STEPTRONIC 2DR COUPE 2018,91,47,94
Mazda,3 SKYACTIV-D 5DR HATCH 2017,88,72,102
Mazda,3 SKYACTIV-D 5DR HATCH 2019,84,70,100
Mazda,3 SKYACTIV-G 2.0 M HYBRID 5DR HATCH 2020,84,70,100
Mazda,3 SKYACTIV-G 5DR HATCH 2019,84,70,92
Mazda,3 SKYACTIV-X 2.0 5DR HATCH 2019,84,70,100
MINI,3-TURER COOPER XL 3DR HATCH 2020,58,64,100
Peugeot,3008 1.6 HYBRID 5DR SALOON 2020,78,70,99
Peugeot,3008 5DR SALOON 2017,91,80,105
Peugeot,308 5DR HATCH 2019,80,76,85
Peugeot,308 SW 2.0 BLUEHDI 180 GT EAT8 5DR ESTATE 2018,105,72,104
BMW,318I TOURING5DR ESTATE 2016,98,70,93
BMW,320D 4DR SALOON 2019,100,50,96
BMW,320D 5DR ESTATE 2020,100,71,95
BMW,320D GRAN TURISMO LUXURY LINE STEPTRONIC 5DR HATCH 2016,102,69,94
BMW,320D LUXURY LINE STEPTRONIC 4DR SALOON 2016,98,50,75
BMW,320D TOURING 5DR ESTATE 2020,100,71,95
BMW,320I 4DR SALOON 2017,98,50,75
BMW,330E M SPORT 4DR SALOON 2020,96,47,96
BMW,440I GRAN COUPE 5DR 2017,96,66,94
Fiat,500 0.9 8V TWINAIR TURBO START&STOPP LOUNGE 3DR HATCH 2016,53,89,101
Fiat,500 1.0 HYBRID 3DR HATCH 2020,53,89,101
Peugeot,5008 5DR SALOON 2017,100,80,115
Fiat,500X 1.4 MULTIAIR START&STOPP LOUNGE 4X2 5DR SALOON 2015,75,73,96
Fiat,500X 1.4 MULTIAIR START&STOPP LOUNGE 4X2 DCT 5DR SALOON 2018,75,83,91
Fiat,500X 1.6 MULTIJET START STOP LOUNGE 4X2 5DR SALOON 2015,75,88,91
Peugeot,508 1.6 5DR HATCH 2018,103,67,98
Peugeot,508 2.0 5DR HATCH 2018,103,67,98
Peugeot,508 BLUEHDI 150 STOP START ALLURE 4DR SALOON 2015,103,51,111
Peugeot,508 SW 1.5 5DR ESTATE 2019,105,67,99
Peugeot,508 SW 1.6 5DR ESTATE 2019,105,67,99
Peugeot,508 SW 1.6 HYBRID 5DR ESTATE 2020,105,67,99
BMW,518D TOURING STEPTRONIC 5DR ESTATE 2015,106,73,220
BMW,520D 4DR SALOON 2017,113,52,80
BMW,520D 5DR ESTATE 2018,108,73,109
BMW,520D STEPTRONIC 4DR SALOON 2014,113,51,84
BMW,520I TOURING LUXURY LINE STEPTRONIC 5DR ESTATE 2018,108,73,109
BMW,530D TOURING 5DR ESTATE 2017,108,73,109
Mazda,6 5DR ESTATE 2018,109,70,100
Mazda,6 COMBI SKYACTIV-D 150 I-ELOOP EXCLUSIVE-LINE 5DR ESTATE 2015,109,69,100
BMW,630D GRAN TURISMO SPORT LINE STEPTRONIC 5DR HATCH 2018,114,68,107
BMW,650I COUPÉ M SPORTPAKET STEPTRONIC 2DR COUPE 2015,96,48,83
BMW,730D 4DR SALOON 2017,113,54,78
BMW,730D 4DR SALOON 2019,113,54,78
BMW,730D STEPTRONIC 4DR SALOON 2016,113,54,78
BMW,745E M 4DR SALOON 2019,107,52,83
BMW,840D 2DR COUPE 2019,110,47,81
Porsche,911 CARRERA CABRIOLET2DR 2016,41,57,68
Porsche,911 CARRERA COUPÉ S 2DR COUPE 2020,0,60,0
Mercedes Benz,A 180 BLUEEFFICIENCY EDITION STYLE 5DR HATCH 2016,70,70,103
Mercedes Benz,A 180 D 5DR HATCH 2019,81,73,99
Mercedes Benz,A 200 AMG-LINE 5DR HATCH 2018,81,73,99
Mercedes Benz,A 200 D LIMOUSINE 4DR SALOON 2020,92,49,103
Mercedes Benz,A 220 5DR HATCH 2019,81,7,99
Audi,A1 1.0 TFSI ULTRA SPORT 3DR HATCH 2015,63,66,94
Audi,A1 CITYCARVER 5DR HATCH 2020,66,77,98
Audi,A1 SPORTBACK 1.6 TDI SPORT 5DR HATCH 2015,63,66,95
Audi,A1 SPORTBACK 5DR HATCH 2019,66,78,95
Alpine,A110 PURE 2DR COUPE 2019,32,28,92
Audi,A3 5DR HATCH 2018,78,79,99
Audi,A4 2.0 TDI SPORT S TRONIC 4DR SALOON 2016,107,50,97
Audi,A4 5DR ESTATE 2020,105,72,98
Audi,A4 AVANT 2.0 TDI ULTRA DESIGN 5DR ESTATE 2016,105,71,98
Audi,A4 AVANT 5DR ESTATE 2017,105,69,98
Audi,A5 CABRIOLET 2.0 TDI 2DR CONVERTIBLE 2017,107,35,89
Audi,A5 COUPE 2.0 2DR 2017,108,47,89
Audi,A5 SPORTBACK 40 5DR HATCH 2019,106,64,99
Audi,A6 AVANT 2.0 TDI ULTRA S TRONIC 5DR ESTATE 2016,116,72,104
Audi,A6 AVANT 5DR ESTATE 2019,116,72,99
Audi,A7 5DR HATCH 2019,116,69,98
Audi,A7 SPORTBACK 3.0 TDI ULTRA S TRONIC 5DR COUPE 2015,117,69,97
Audi,A8 QUATTRO 4DR SALOON 2018,96,50,89
Vauxhall,ADAM 1.0 DI TURBO ECOFLEX START STOP SLAM 3DR HATCH 2014,47,86,96
Vauxhall,ADAM ROCKS S3DR HATCH 2016,47,86,96
Alfa Romeo,159 SPORTWAGON 2.0 JTDM 16V ECO 5DR ESTATE 2010,101,129,92
Alfa Romeo,159 TURISMO 1.8 TBI 16V 4DR SALOON 2009,101,54,85
Alfa Romeo,BRERA 2.4 JTDM 20V 3DR COUPE 2008,95,61,84
Alfa Romeo,GIULIETTA 1.4 TB 16V MULTIAIR TURISMO TCT 5DR HATCH 2014,75,76,102
Alfa Romeo,GIULIETTA TURISMO 1.4 TB 16V 5DR HATCH 2010,77,76,101
Alfa Romeo,MITO 1.6 JTD MULTIJET 16V 3DR HATCH 2008,67,82,97
Alfa Romeo,MITO TURISMO 1.4 TB 3DR HATCH 2008,67,82,97
Alfa Romeo,MITO TURISMO 1.4 TB MULTIAIR 3DR HATCH 2010,67,82,97
Alfa Romeo,SPIDER 2.4 JTD 2DR CONVERTIBLE 2008,77,47,91
SEAT,ALHAMBRA 2.0 TDI ECOMOTIVE REFERENCE 5DR MPV 2016,47,112,79
Mercedes Benz,AMG GT SPEEDSHIFT DCT 2DR COUPE 2016,50,33,120
Vauxhall,AMPERA-E 5DR HATCH 2017,69,89,99
SEAT,ARONA 1.0 5DR SALOON 2019,73,72,98
SEAT,ARONA 5DR SALOON 2018,72,83,93
Volkswagen,ARTEON 2.0 TDI 5DR COUPE 2017,96,76,100
Volkswagen,ARTEON 2.0 TSI 5DR HATCH 2019,96,76,100
Vauxhall,ASTRA 1.0 DI TURBO ECOFLEX START&STOP INNOVATION 5DR HATCH 2015,70,84,78
Vauxhall,ASTRA 1.2 DI 5DR HATCH 2020,76,68,103
Vauxhall,ASTRA 1.4 5DR HATCH 2018,76,65,102
Vauxhall,ASTRA 1.4 DI 5DR HATCH 2017,76,68,102
Vauxhall,ASTRA 1.6 5DR HATCH 2018,76,68,102
Vauxhall,ASTRA 1.6 CDTI ECOFLEX START&STOP INNOVATION 5DR HATCH 2016,70,84,78
Vauxhall,ASTRA SPORTS TOURER 1.4 DI TURBO ECOFLEX BUSINESS 5DR ESTATE 2016,105,74,102
Vauxhall,ASTRA SPORTS TOURER 1.4 DI TURBO ECOFLEX START&STOP DYNAMIC 5DR ESTATE 2016,105,74,102
Vauxhall,ASTRA SPORTS TOURER 1.5 5DR ESTATE 2019,106,74,102
SEAT,ATECA 1.4 ECO 5DR SALOON 2017,86,90,95
SEAT,ATECA 1.5 5DR SALOON 2019,86,90,100
SEAT,ATECA 1.5 TSI 5DR SALOON 2021,86,90,100
SEAT,ATECA 2.0 TDI 5DR SALOON 2016,95,79,111
CUPRA,ATECA 5DR SALOON 2019,86,81,100
Audi,A1 AMBITION 1.2 TFSI 3DR HATCH 2011,63,66,92
Audi,A1 AMBITION 1.4 TSFI 3DR HATCH 2010,63,66,92
Audi,A1 SPORTBACK AMBITION 2.0 TDI 105 5DR HATCH 2012,63,66,94
Audi,A3 1.4 TFSI 3DR HATCH 2013,72,68,99
Audi,A3 1.8 TFSI 132 KW 3DR HATCH 2012,72,68,99
Audi,A3 1.9 TDI 3DR HATCH 2008,80,82,98
Audi,A3 AMBITION 1.4 TFSI 103KW 140 PS 4DR SALOON 2013,95,52,99
Audi,A3 AMBITION 1.6 TDI 77KW 105 PS 4DR SALOON 2013,95,52,99
Audi,A3 ATTRACTION 1.6 TDI 99G (DPF) 3DR HATCH 2010,80,82,79
Audi,A3 CABRIO AMBITION 1.8 TFSI 2DR CONVERTIBLE 2008,82,53,68
Audi,A3 CABRIOLET 2.0 TDI 2DR CONVERTIBLE 2014,98,42,99
Audi,A3 CABRIOLET AMBITION 1.4 TFSI 2DR CONVERTIBLE 2011,82,53,68
Audi,A3 SE TDI 2.0 3DR HATCH,2,82,98
Audi,A3 SPORTBACK 1.6 TDI ULTRA ATTRACTION 5DR HATCH 2014,78,79,99
Audi,A3 SPORTBACK AMBITION 1.4 TFSI 5DR HATCH 2008,79,72,97
Audi,A3 SPORTBACK AMBITION 1.4 TFSI COD 103KW 140 PS 5DR HATCH 2013,78,79,99
Audi,A3 SPORTBACK AMBITION 1.6 TDI 5DR HATCH 2013,78,79,99
Audi,A3 SPORTBACK AMBITION 2.0 TDI 110KW 150 PS 5DR HATCH 2013,78,79,99
Audi,A3 SPORTBACK FSI SPORT 2.0 5DR HATCH,83,82,99
Audi,A3 SPORTBACK G-TRON 1.481KW 110PS 5DR HATCH 2013,76,68,99
Audi,A4 2.0 TDI ULTRA SPORT 4DR SALOON 2016,107,50,97
Audi,A4 AMBITION 1.8 TFSI 4DR SALOON,106,50,96
Audi,A4 AMBITION 2.0TDI 4DR SALOON 2012,105,50,100
Audi,A4 AMBITION 2.0TDI 4DR SALOON 2013,105,50,100
Audi,A4 AMBITION 3.0 TDI QUATTRO 4DR SALOON,2,50,96
Audi,A4 AVANT 1.8 TFSI 5DR ESTATE 2013,102,71,100
Audi,A4 AVANT 2.0 TDI AMBITION 5DR ESTATE 2014,102,71,100
Audi,A4 AVANT AMBIENTE QUATTRO 3.0 TDI 5DR ESTATE 2010,101,71,100
Audi,A4 AVANT AMBITION 1.8T 5DR ESTATE 2008,101,71,100
Audi,A4 AVANT AMBITION 3.0 TDI 150KW 204PS 5DR ESTATE 2013,102,71,100
Audi,A4 TDI SE 2.0 5DR ESTATE,100,70,100
Audi,A5 3.2 FSI MULTITRONIC 2DR COUPE,105,47,99
Audi,A5 CABRIO 2.0 TDI 2DR CONVERTIBLE 2009,104,25,70
Audi,A5 CABRIOLET 2.0 TFSI 155KW 2DR CONVERTIBLE 2013,107,35,70
Audi,A5 COUPE 1.8 TFSI 125 KW 2DR COUPE 2012,104,47,90
Audi,A5 SPORTBACK 2.0TDI 105KW 5DR HATCH 2012,106,70,99
Audi,A5 SPORTSBACK 3.0 TDI QUATTRO 5DR HATCH 2010,106,70,99
Audi,A6 2.0 TDI 130KW 177 PS 4DR SALOON 2013,115,49,102
Audi,A6 2.0 TFSI HYBRID TIPTRONIC 4DR SALOON 2012,56,49,102
Audi,A6 2.8 FSI MULTITRONIC 4DR SALOON 2011,115,49,102
Audi,A6 3.0 TDI MULTITRONIC 4DR SALOON 2011,116,49,103
