,Unnamed: 0,width,height,length,weight,packages,subarticle_code,article_code
0,0.0,78,65,96,41.2,1,90499066,90499066
1,1.0,43,10,47,0.98,1,20450520,20450520
2,2.0,15,9,17,0.32,1,10377318,10377318
3,3.0,18,18,20,0.28,1,10333065,39291753
4,4.0,18,18,20,0.28,1,40386590,39291753
5,5.0,24,24,39,1.85,1,10430778,10430778
6,6.0,6,6,12,0.05,1,20438707,20438707
7,7.0,29,13,39,1.59,1,30404882,30404882
8,8.0,51,4,54,3.56,1,50411990,50411990
9,9.0,14,14,21,0.23,1,20354566,20354566
10,10.0,22,22,46,1.16,1,60484580,60484580
11,11.0,51,3,56,1.93,1,30469152,30469152
12,12.0,16,16,16,0.17,1,40470329,40470329
13,13.0,46,12,84,24.25,1,30403571,30403571
14,14.0,72,10,152,34.0,1,30446373,30446373
15,15.0,81,5,132,11.1,1,70305700,70305700
16,16.0,39,8,64,9.96,1,80309241,80309241
17,17.0,41,15,57,15.05,1,90458810,90458810
18,18.0,19,6,20,1.3,1,30292399,89031809
19,19.0,19,6,20,1.3,1,40271297,89031809
20,20.0,19,6,20,1.3,1,30292399,49031774
21,21.0,19,6,20,1.3,1,50271305,49031774
22,22.0,64,27,207,40.55,1,80311060,39216754
23,23.0,64,27,207,40.55,1,80311734,39216754
24,24.0,73,40,145,42.35,1,311059,39216754
25,25.0,91,37,182,46.0,1,10072256,9326532
26,26.0,91,37,182,46.0,1,90460177,9326532
27,27.0,40,7,84,11.12,1,40440441,19323689
28,28.0,40,7,84,11.12,1,90457735,19323689
29,29.0,8,5,213,2.34,1,90396983,90396983
30,30.0,36,4,57,4.8,1,80205620,80205620
31,31.0,58,55,59,6.7,1,320493,29178074
32,32.0,58,55,59,6.7,1,80320494,29178074
33,33.0,66,17,66,1.91,1,50320565,29178074
34,34.0,23,9,80,3.63,1,40258154,40258154
35,35.0,51,47,52,16.0,1,10496953,10496953
36,36.0,30,20,87,7.6,1,90331374,90331374
37,37.0,32,27,114,18.39,1,80424651,80424651
38,38.0,7,7,18,0.08,1,20428874,20428874
39,0.0,78,65,96,41.2,1,90499066,90499066
0,,57,11,85,7.42,1,50450236,50450236
